"filename", "language", "JavaScript", "vue", "C#", "JSON", "XML", "JSON with Comments", "HTML", "Markdown", "PostCSS", "comment", "blank", "total"
"d:\pharmacy\frontend\pharmacy-frontend\src\components\ProfileCalendar.vue", "vue", 0, 545, 0, 0, 0, 0, 0, 0, 0, 0, 72, 617
"d:\pharmacy\frontend\pharmacy-frontend\src\components\ProfileInfo.vue", "vue", 0, 379, 0, 0, 0, 0, 0, 0, 0, 0, 60, 439
"d:\pharmacy\frontend\pharmacy-frontend\src\components\ProfileOrders.vue", "vue", 0, 236, 0, 0, 0, 0, 0, 0, 0, 0, 36, 272
"d:\pharmacy\frontend\pharmacy-frontend\src\components\ProfileReviews.vue", "vue", 0, 88, 0, 0, 0, 0, 0, 0, 0, 0, 15, 103
"d:\pharmacy\frontend\pharmacy-frontend\src\components\QuickOrderModal.vue", "vue", 0, 217, 0, 0, 0, 0, 0, 0, 0, 0, 41, 258
"d:\pharmacy\frontend\pharmacy-frontend\src\components\RatingBadge.vue", "vue", 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 5, 42
"d:\pharmacy\frontend\pharmacy-frontend\src\components\ReviewCard.vue", "vue", 0, 69, 0, 0, 0, 0, 0, 0, 0, 0, 9, 78
"d:\pharmacy\frontend\pharmacy-frontend\src\components\ReviewItemCard.vue", "vue", 0, 248, 0, 0, 0, 0, 0, 0, 0, 0, 43, 291
"d:\pharmacy\frontend\pharmacy-frontend\src\components\SearchBar.vue", "vue", 0, 405, 0, 0, 0, 0, 0, 0, 0, 0, 68, 473
"d:\pharmacy\frontend\pharmacy-frontend\src\components\admin\ErrorAlert.vue", "vue", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 2, 22
"d:\pharmacy\frontend\pharmacy-frontend\src\components\admin\Modal.vue", "vue", 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 4, 25
"d:\pharmacy\frontend\pharmacy-frontend\src\components\admin\TableActions.vue", "vue", 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 1, 20
"d:\pharmacy\frontend\pharmacy-frontend\src\components\admin\TablePagination.vue", "vue", 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 8, 70
"d:\pharmacy\frontend\pharmacy-frontend\src\logic\modal.js", "JavaScript", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 19
"d:\pharmacy\frontend\pharmacy-frontend\src\logic\pagination.js", "JavaScript", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 35
"d:\pharmacy\frontend\pharmacy-frontend\src\logic\sorting.js", "JavaScript", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 21
"d:\pharmacy\frontend\pharmacy-frontend\src\main.js", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 17
"d:\pharmacy\frontend\pharmacy-frontend\src\router\index.js", "JavaScript", 183, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 190
"d:\pharmacy\frontend\pharmacy-frontend\src\stores\authStore.js", "JavaScript", 106, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 123
"d:\pharmacy\frontend\pharmacy-frontend\src\stores\cartStore.js", "JavaScript", 131, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 152
"d:\pharmacy\frontend\pharmacy-frontend\src\stores\favoriteStore.js", "JavaScript", 90, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 100
"d:\pharmacy\frontend\pharmacy-frontend\src\stores\notificationStore.js", "JavaScript", 64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 72
"d:\pharmacy\frontend\pharmacy-frontend\src\stores\orderStore.js", "JavaScript", 80, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 90
"d:\pharmacy\frontend\pharmacy-frontend\src\views\CartView.vue", "vue", 0, 146, 0, 0, 0, 0, 0, 0, 0, 0, 23, 169
"d:\pharmacy\frontend\pharmacy-frontend\src\views\CatalogView.vue", "vue", 0, 82, 0, 0, 0, 0, 0, 0, 0, 0, 14, 96
"d:\pharmacy\frontend\pharmacy-frontend\src\views\FavoriteView.vue", "vue", 0, 86, 0, 0, 0, 0, 0, 0, 0, 0, 15, 101
"d:\pharmacy\frontend\pharmacy-frontend\src\views\FilterCatalogView.vue", "vue", 0, 361, 0, 0, 0, 0, 0, 0, 0, 0, 60, 421
"d:\pharmacy\frontend\pharmacy-frontend\src\views\HomeView.vue", "vue", 0, 145, 0, 0, 0, 0, 0, 0, 0, 0, 23, 168
"d:\pharmacy\frontend\pharmacy-frontend\src\views\LoginView.vue", "vue", 0, 152, 0, 0, 0, 0, 0, 0, 0, 0, 25, 177
"d:\pharmacy\frontend\pharmacy-frontend\src\views\PharmaciesView.vue", "vue", 0, 105, 0, 0, 0, 0, 0, 0, 0, 0, 21, 126
"d:\pharmacy\frontend\pharmacy-frontend\src\views\PharmacyAllReviews.vue", "vue", 0, 225, 0, 0, 0, 0, 0, 0, 0, 0, 46, 271
"d:\pharmacy\frontend\pharmacy-frontend\src\views\PharmacyView.vue", "vue", 0, 456, 0, 0, 0, 0, 0, 0, 0, 0, 78, 534
"d:\pharmacy\frontend\pharmacy-frontend\src\views\ProductDetailView.vue", "vue", 0, 699, 0, 0, 0, 0, 0, 0, 0, 0, 123, 822
"d:\pharmacy\frontend\pharmacy-frontend\src\views\ProductListView.vue", "vue", 0, 85, 0, 0, 0, 0, 0, 0, 0, 0, 17, 102
"d:\pharmacy\frontend\pharmacy-frontend\src\views\ProfileView.vue", "vue", 0, 179, 0, 0, 0, 0, 0, 0, 0, 0, 31, 210
"d:\pharmacy\frontend\pharmacy-frontend\src\views\RegisterView.vue", "vue", 0, 147, 0, 0, 0, 0, 0, 0, 0, 0, 25, 172
"d:\pharmacy\frontend\pharmacy-frontend\src\views\admin\AdminCategory.vue", "vue", 0, 403, 0, 0, 0, 0, 0, 0, 0, 0, 59, 462
"d:\pharmacy\frontend\pharmacy-frontend\src\views\admin\AdminCustomers.vue", "vue", 0, 225, 0, 0, 0, 0, 0, 0, 0, 0, 35, 260
"d:\pharmacy\frontend\pharmacy-frontend\src\views\admin\AdminMain.vue", "vue", 0, 102, 0, 0, 0, 0, 0, 0, 0, 0, 14, 116
"d:\pharmacy\frontend\pharmacy-frontend\src\views\admin\AdminOrder.vue", "vue", 0, 322, 0, 0, 0, 0, 0, 0, 0, 0, 47, 369
"d:\pharmacy\frontend\pharmacy-frontend\src\views\admin\AdminPharmacies.vue", "vue", 0, 253, 0, 0, 0, 0, 0, 0, 0, 0, 28, 281
"d:\pharmacy\frontend\pharmacy-frontend\src\views\admin\AdminProducts.vue", "vue", 0, 416, 0, 0, 0, 0, 0, 0, 0, 0, 61, 477
"d:\pharmacy\frontend\pharmacy-frontend\src\views\admin\AdminReviews.vue", "vue", 0, 365, 0, 0, 0, 0, 0, 0, 0, 0, 54, 419
"d:\pharmacy\frontend\pharmacy-frontend\src\views\admin\AdminStats.vue", "vue", 0, 524, 0, 0, 0, 0, 0, 0, 0, 0, 78, 602
"d:\pharmacy\frontend\pharmacy-frontend\src\views\admin\AdminStock.vue", "vue", 0, 425, 0, 0, 0, 0, 0, 0, 0, 0, 61, 486
"d:\pharmacy\frontend\pharmacy-frontend\src\views\admin\AdminUsers.vue", "vue", 0, 292, 0, 0, 0, 0, 0, 0, 0, 0, 42, 334
"d:\pharmacy\frontend\pharmacy-frontend\vite.config.js", "JavaScript", 15, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 19
"Total", "-", 751, 10393, 10905, 3251, 49, 8, 13, 25, 269, 125, 4959, 30748
